Veicolo;Targa;Data (UTC+01:00);Tipo;Partenza;Poi Partenza;Ora (UTC+01:00);Arrivo;Poi Arrivo;Ora (UTC+01:00);km;Guida (minuti);Vel. media (km/h);Sosta motore spento (minuti);Totale sosta acceso (minuti);Vel. massima (km/h);Lat partenza;Lon partenza;Lat arrivo;Lon arrivo
NZHE15562;NZHE15562;2024-02-05;INACTIVITY;Inattività;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:09:30;0,0;;0,0;;;0;43.238277;13.389466;43.238173;13.389451
NZHE15562;NZHE15562;2024-02-05;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:09:30;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:46:55;2,9;457;0,0;;;11;43.238173;13.389451;43.238228;13.389579
NZHE15562;NZHE15562;2024-02-05;PARK_ENGINE_OFF;Sosta a motore spento;;13:46:55;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:51:55;0,0;;0,0;5;0;0;43.238228;13.389579;43.238244;13.389678
NZHE15562;NZHE15562;2024-02-05;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:51:55;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:07:55;0,8;76;0,0;;;11;43.238244;13.389678;43.238337;13.389558
NZHE15562;NZHE15562;2024-02-05;PARK_ENGINE_OFF;Sosta a motore spento;;15:07:55;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:51:33;0,0;;0,0;43;0;0;43.238337;13.389558;43.238337;13.389558
NZHE15562;NZHE15562;2024-02-05;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:51:33;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:21:07;2,3;149;1,0;;;29;43.238337;13.389558;43.238109;13.389492
NZHE15562;NZHE15562;2024-02-05;PARK_ENGINE_OFF;Sosta a motore spento;;18:21:07;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:22:21;0,0;;0,0;61;0;0;43.238109;13.389492;43.238117;13.389489
NZHE15562;NZHE15562;2024-02-05;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:22:21;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:31:53;0,3;9;0,0;;;4;43.238117;13.389489;43.238322;13.389386
NZHE15562;NZHE15562;2024-02-05;PARK_ENGINE_OFF;Sosta a motore spento;;19:31:53;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:04:26;0,0;;0,0;152;0;0;43.238322;13.389386;43.23826;13.389318
NZHE15562;NZHE15562;2024-02-05;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:04:26;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;1,1;115;0,0;;;13;43.23826;13.389318;43.238344;13.38951
NZHE15562;NZHE15562;2024-02-05;Totale;;;;;;;7,4;808;0,0;262;0;29;;;;
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:02:31;0,7;182;0,0;;;7;43.238344;13.38951;43.238242;13.389507
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;03:02:31;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:19:53;0,0;;0,0;17;0;0;43.238242;13.389507;43.238253;13.38946
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:19:53;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:24:11;0,1;4;2,0;;;9;43.238253;13.38946;43.238338;13.389487
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;03:24:11;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;05:57:08;0,0;;0,0;152;0;0;43.238338;13.389487;43.238356;13.389344
NZHE15562;NZHE15562;2024-02-06;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;05:57:08;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:55:36;2,6;418;0,0;;;16;43.238356;13.389344;43.238253;13.389507
NZHE15562;NZHE15562;2024-02-06;PARK_ENGINE_OFF;Sosta a motore spento;;12:55:36;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:14:00;0,0;;0,0;18;0;0;43.238253;13.389507;43.238301;13.389571
